District,Price,Prev_Month,Prev_Year,Change_M,Change_Y,Crop,Month_Year
Belgaum,3983.17,3640.69,3000.0,9.4%,32.8%,Wheat,"May, 2026"",,"
Belgaum,3983.17,3640.69,3000.0,9.4%,32.8%,Wheat,"May, 2026"",,"
Belgaum,3983.17,3640.69,3000.0,9.4%,32.8%,Wheat,"May, 2026"",,"
Belgaum,3983.17,3640.69,3000.0,9.4%,32.8%,Wheat,"May, 2026"",,"
Belgaum,4001.27,3694.35,3443.26,8.3%,16.2%,Wheat,"March, 2026"",,"
Belgaum,4001.27,3694.35,3443.26,8.3%,16.2%,Wheat,"March, 2026"",,"
Belgaum,4001.27,3694.35,3443.26,8.3%,16.2%,Wheat,"March, 2026"",,"
Belgaum,4001.27,3694.35,3443.26,8.3%,16.2%,Wheat,"March, 2026"",,"
Belgaum,2989.25,2652.0,3193.1,12.7%,-6.4%,Wheat,"November, 2025"",,"
Belgaum,2989.25,2652.0,3193.1,12.7%,-6.4%,Wheat,"November, 2025"",,"
Belgaum,2903.3,2900.0,3293.7,0.1%,-11.8%,Wheat,"September, 2025"",,"
Belgaum,2903.3,2900.0,3293.7,0.1%,-11.8%,Wheat,"September, 2025"",,"
Belgaum,2972.36,2797.67,3000.0,6.2%,-0.9%,Wheat,"July, 2025"",,"
Belgaum,3000.0,3378.33,3000.0,-11.2%,-,Wheat,"May, 2025"",,"
Belgaum,3443.26,3600.0,-,-4.3%,-,Wheat,"March, 2025"",,"
Belgaum,3274.19,3250.0,-,0.7%,-,Wheat,"January, 2025"",,"
Belgaum,3193.1,3035.84,-,5.2%,-,Wheat,"November, 2024"",,"
Belgaum,3293.7,2900.0,3450.86,13.6%,-4.5%,Wheat,"September, 2024"",,"
Belgaum,3000.0,4235.29,2450.0,-29.2%,22.4%,Wheat,"July, 2024"",,"
Belgaum,2722.78,-,-,-,-,Wheat,"December, 2023"",,"
Belgaum,3224.0,3450.86,2419.6,-6.6%,33.2%,Wheat,"October, 2023"",,"
Belgaum,3000.0,-,2144.44,-,39.9%,Wheat,"June, 2023"",,"
Belgaum,2700.0,3200.0,2400.0,-15.6%,12.5%,Wheat,"April, 2023"",,"
